 Morbidade Hospitalar do SUS - por local de residência - Brasil
Internações por Município e Ano atendimento
Lista Morb  CID-10: Dengue [dengue clásssico]
Período:Jan/2008-Set/2025
"Município";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025";"Total"
"120010 BRASILEIA";-;1;63;27;8;41;25;11;14;19;7;9;16;51;43;7;47;10;3;402
"120013 BUJARI";-;1;1;2;2;-;1;-;-;-;-;-;-;-;-;-;1;-;1;9
"120017 CAPIXABA";-;3;5;7;4;5;3;2;1;4;-;3;3;-;2;2;8;-;2;54
"120020 CRUZEIRO DO SUL";-;3;4;10;13;1;2;539;249;16;12;13;99;72;27;93;59;103;68;1383
"120025 EPITACIOLANDIA";-;1;46;13;10;23;10;2;9;8;3;4;13;53;13;2;11;4;2;227
"120030 FEIJO";-;-;2;1;5;-;1;-;-;-;-;4;-;1;12;13;5;7;11;62
"120032 JORDAO";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"120033 MANCIO LIMA";-;-;-;-;2;-;-;5;9;5;3;1;9;2;4;9;23;27;33;132
"120034 MANOEL URBANO";-;1;1;6;4;2;2;2;-;-;2;-;1;-;6;2;15;15;18;77
"120035 MARECHAL THAUMATURGO";-;-;-;-;-;-;-;2;-;-;2;-;-;10;1;13;2;69;38;137
"120038 PLACIDO DE CASTRO";-;1;1;8;14;16;25;9;4;3;5;7;2;2;10;-;4;2;5;118
"120039 PORTO WALTER";-;-;1;-;-;-;-;1;2;-;1;2;4;1;-;7;3;5;3;30
"120040 RIO BRANCO";3;106;422;367;193;42;30;16;13;8;8;16;22;23;52;22;58;69;130;1600
"120042 RODRIGUES ALVES";-;-;-;-;1;-;-;33;13;4;-;3;16;27;21;14;17;52;24;225
"120043 SANTA ROSA DO PURUS";-;-;-;1;1;-;2;-;-;-;-;-;-;-;1;1;3;-;-;9
"120045 SENADOR GUIOMARD";1;5;19;50;68;46;21;7;17;19;3;34;11;11;24;2;14;5;11;368
"120050 SENA MADUREIRA";-;19;39;69;41;12;56;19;10;11;10;83;26;6;35;29;59;23;9;556
"120060 TARAUACA";-;-;1;3;2;-;2;2;1;2;-;3;25;7;8;12;13;9;12;102
"120070 XAPURI";-;7;22;29;12;19;48;6;2;2;17;22;26;20;70;4;8;2;7;323
"120080 PORTO ACRE";-;-;9;5;2;2;-;-;-;-;-;-;-;3;5;-;1;2;2;31
"130002 ALVARAES";-;1;-;-;-;-;-;-;-;-;-;1;-;-;1;1;3;6;-;13
"130006 AMATURA";-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;2
"130008 ANAMA";-;16;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;1;-;19
"130014 APUI";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"130020 ATALAIA DO NORTE";-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;5;3;3;14
"130030 AUTAZES";-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;3;-;5
"130040 BARCELOS";-;9;7;51;8;2;-;1;3;-;-;-;-;-;-;-;-;-;-;81
"130050 BARREIRINHA";-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;2;-;4
"130060 BENJAMIN CONSTANT";-;-;-;-;-;-;-;-;-;-;2;-;3;5;3;12;2;2;12;41
"130063 BERURI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;3;-;4
"130068 BOA VISTA DO RAMOS";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"130070 BOCA DO ACRE";2;4;2;9;56;6;22;10;15;10;11;7;17;25;21;12;26;17;8;280
"130080 BORBA";-;-;-;-;-;4;12;1;3;4;-;-;1;-;-;-;1;1;-;27
"130083 CAAPIRANGA";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"130090 CANUTAMA";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;6;-;7
"130100 CARAUARI";-;-;-;-;-;-;-;-;1;-;-;-;3;5;-;1;1;1;-;12
"130110 CAREIRO";-;-;-;-;11;-;-;2;1;-;1;-;-;-;-;1;-;1;1;18
"130115 CAREIRO DA VARZEA";-;-;-;-;1;-;1;-;-;-;-;1;-;-;-;-;1;-;-;4
"130120 COARI";-;12;15;22;10;-;3;1;-;5;4;1;1;-;4;18;30;32;2;160
"130130 CODAJAS";-;1;1;1;1;-;-;-;-;-;7;-;-;3;12;-;7;64;4;101
"130140 EIRUNEPE";-;-;-;-;-;-;-;-;-;-;-;-;2;5;2;-;-;3;6;18
"130150 ENVIRA";-;-;-;-;1;-;1;-;-;1;-;-;-;-;14;5;3;46;12;83
"130160 FONTE BOA";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;1;1;1;5
"130165 GUAJARA";-;-;-;1;-;-;-;16;39;4;1;1;58;23;4;18;10;69;17;261
"130170 HUMAITA";-;-;2;-;-;1;-;-;1;-;-;-;1;-;-;26;31;2;1;65
"130180 IPIXUNA";-;1;-;-;-;-;-;-;2;-;-;-;-;1;1;53;95;23;31;207
"130185 IRANDUBA";-;1;-;-;3;-;1;-;2;2;1;1;2;3;21;4;2;4;-;47
"130190 ITACOATIARA";-;7;-;1;11;3;6;39;16;-;-;1;-;7;1;1;-;-;1;94
"130195 ITAMARATI";1;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;3
"130200 ITAPIRANGA";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"130210 JAPURA";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;3;17;22;13;56
"130220 JURUA";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"130230 JUTAI";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;4;50;62;19;139
"130240 LABREA";-;4;-;3;8;1;1;2;1;-;-;1;-;11;10;4;7;6;-;59
"130250 MANACAPURU";1;7;-;10;11;7;5;2;4;3;5;-;-;2;7;4;3;3;2;76
"130255 MANAQUIRI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;3
